100
aa 0 2 37
ab 1 2 57
ac 2 2 69
ad 3 6 4
ae 4 6 97
af 5 8 71
ag 6 10 70
ah 7 12 26
ai 8 13 2
aj 9 15 61
ak 10 15 65
al 11 15 85
am 12 18 60
an 13 18 67
ao 14 18 68
ap 15 18 78
aq 16 20 11
ar 17 22 23
as 18 22 39
at 19 22 70
au 20 24 36
av 21 25 68
aw 22 26 6
ax 23 27 83
ay 24 28 50
az 25 29 98
ba 26 30 49
bb 27 31 81
bc 28 32 31
bd 29 32 58
be 30 33 99
bf 31 34 3
bg 32 34 56
bh 33 34 98
bi 34 37 65
bj 35 39 41
bk 36 43 11
bl 37 44 64
bm 38 45 35
bn 39 45 65
bo 40 48 97
bp 41 49 93
bq 42 53 68
br 43 54 9
bs 44 54 26
bt 45 55 14
bu 46 56 19
bv 47 57 26
bw 48 57 56
bx 49 58 3
by 50 58 42
bz 51 59 9
ca 52 59 57
cb 53 60 8
cc 54 60 33
cd 55 62 61
ce 56 64 46
cf 57 65 13
cg 58 65 98
ch 59 66 16
ci 60 67 84
cj 61 68 99
ck 62 69 27
cl 63 70 12
cm 64 70 19
cn 65 70 63
co 66 71 9
cp 67 73 5
cq 68 75 83
cr 69 75 100
cs 70 76 99
ct 71 76 100
cu 72 77 57
cv 73 81 61
cw 74 82 4
cx 75 82 45
cy 76 82 82
cz 77 84 66
da 78 85 84
db 79 86 65
dc 80 87 56
dd 81 88 40
de 82 88 63
df 83 91 8
dg 84 91 55
dh 85 92 7
di 86 93 22
dj 87 93 33
dk 88 94 37
dl 89 94 52
dm 90 94 66
dn 91 95 5
do 92 95 24
dp 93 95 53
dq 94 95 86
dr 95 96 27
ds 96 97 51
dt 97 98 52
du 98 99 60
dv 99 100 67
