30 70 undirected d
11 0 1
0 5 1
5 10 1
10 18 1
18 15 1
15 28 3
28 2 9
2 7 1
7 9 1
9 24 4
24 1 7
1 13 1
13 20 7
20 25 5
25 16 5
16 4 2
4 19 7
19 17 1
17 23 2
23 21 1
21 22 1
22 29 1
29 26 3
26 8 7
8 12 1
12 3 8
3 14 1
14 27 8
27 6 6
2 6 1
5 26 6
4 27 11
5 14 1
1 14 5
9 28 8
22 28 6
2 17 2
13 24 4
14 24 5
8 16 2
3 25 12
25 26 3
2 24 6
18 28 2
17 26 3
4 20 3
3 15 1
5 6 2
3 13 8
1 23 6
18 20 1
0 10 2
4 6 3
12 24 4
1 7 3
12 28 11
13 18 10
6 19 3
20 24 3
11 28 7
17 22 1
0 16 2
0 20 5
4 21 9
2 27 8
13 16 3
12 22 3
12 15 7
4 26 6
8 21 3
